
grid parameters: 

         I           yp             yn              rn              rs                rc               dn              ds             area n            volume  
        38    0.2139367E-02    0.2334105E-02    0.2305537E-01    0.2266590E-01    0.2286063E-01    0.1947377E-03    0.1947377E-03    0.4023922E-03    0.1553981E-06
        39    0.2567790E-02    0.2801476E-02    0.2266590E-01    0.2219852E-01    0.2243221E-01    0.2336856E-03    0.2336856E-03    0.3955945E-03    0.1829833E-06
        40    0.3081898E-02    0.3362321E-02    0.2219852E-01    0.2163768E-01    0.2191810E-01    0.2804212E-03    0.2804231E-03    0.3874374E-03    0.2145471E-06
        41    0.3698828E-02    0.4035335E-02    0.2163768E-01    0.2096467E-01    0.2130117E-01    0.3365073E-03    0.3365073E-03    0.3776488E-03    0.2502105E-06
        42    0.4439143E-02    0.4842951E-02    0.2096467E-01    0.2015705E-01    0.2056086E-01    0.4038084E-03    0.4038066E-03    0.3659025E-03    0.2898164E-06
        43    0.5327521E-02    0.5812091E-02    0.2015705E-01    0.1918791E-01    0.1967248E-01    0.4845709E-03    0.4845709E-03    0.3518069E-03    0.3327544E-06
        44    0.6393575E-02    0.6975059E-02    0.1918791E-01    0.1802494E-01    0.1860642E-01    0.5814843E-03    0.5814824E-03    0.3348922E-03    0.3776658E-06
        45    0.7672840E-02    0.8370620E-02    0.1802494E-01    0.1662938E-01    0.1732716E-01    0.6977823E-03    0.6977804E-03    0.3145946E-03    0.4220405E-06
        46    0.9207957E-02    0.1004529E-01    0.1662938E-01    0.1495471E-01    0.1579204E-01    0.8373372E-03    0.8373363E-03    0.2902375E-03    0.4615788E-06
        47    0.1105010E-01    0.1205490E-01    0.1495471E-01    0.1294510E-01    0.1394990E-01    0.1004804E-02    0.1004804E-02    0.2610089E-03    0.4892827E-06
        48    0.1326067E-01    0.1446643E-01    0.1294510E-01    0.1053357E-01    0.1173933E-01    0.1205766E-02    0.1205767E-02    0.2259346E-03    0.4940989E-06
        49    0.1591335E-01    0.1736027E-01    0.1053357E-01    0.7639728E-02    0.9086648E-02    0.1446918E-02    0.1446920E-02    0.1838454E-03    0.4589392E-06
        50    0.1909657E-01    0.2083288E-01    0.7639728E-02    0.4167125E-02    0.5903427E-02    0.1736302E-02    0.1736302E-02    0.1333384E-03    0.3577971E-06
        51    0.2291644E-01    0.2500000E-01    0.4167125E-02    0.0000000E+00    0.2083562E-02    0.2083562E-02    0.2083562E-02    0.7273005E-04    0.1515376E-06
        52    0.2500000E-01    0.0000000E+00    0.0000000E+00    0.0000000E+00   -0.2083562E-02    0.2083562E-02    0.0000000E+00    0.4038977E-27    0.0000000E+00
